activity,containers,ingredients,tool,dish,subject,labels,className,fileName,startFrame,startTimeSeconds,endFrame,endTimeSeconds
cut out insideV,[''],['tomato'],['knife'],2.0,8.0,594.0,cut out insideVknifetomato,s08-d02-cam-002,5318.0,180.913,5469.0,186.054
sliceV,['cutting-board'],['tomato'],['knife'],2.0,8.0,2338.0,sliceVknifetomatocutting board,s08-d02-cam-002,5477.0,186.326,5650.0,192.21
cut diceV,['cutting-board'],['tomato'],['knife'],2.0,8.0,515.0,cut diceVknifetomatocutting board,s08-d02-cam-002,5733.0,195.034,5864.0,199.471
addV,"['cutting-board', 'bowl']",['tomato'],['hand'],2.0,8.0,151.0,addVhandtomatocutting boardbowl,s08-d02-cam-002,5884.0,200.17,5940.0,202.074
addV,"['cutting-board', 'bowl']",['tomato'],['hand'],2.0,8.0,151.0,addVhandtomatocutting boardbowl,s08-d02-cam-002,6041.0,205.502,6092.0,207.231
washV,[''],['tomato'],['hand'],2.0,8.0,3227.0,washVhandtomato,s08-d02-cam-002,6141.0,208.907,6292.0,214.047
shakeV,[''],['tomato'],['hand'],2.0,8.0,2260.0,shakeVhandtomato,s08-d02-cam-002,6292.0,214.047,6324.0,215.136
cut apartV,['cutting-board'],['tomato'],['knife'],2.0,8.0,477.0,cut apartVknifetomatocutting board,s08-d02-cam-002,6348.0,215.95,6414.0,218.197
sliceV,['cutting-board'],['tomato'],['knife'],2.0,8.0,2338.0,sliceVknifetomatocutting board,s08-d02-cam-002,6450.0,219.391,6630.0,225.544
cut diceV,['cutting-board'],['tomato'],['knife'],2.0,8.0,515.0,cut diceVknifetomatocutting board,s08-d02-cam-002,6637.0,225.777,6788.0,230.888
addV,"['cutting-board', 'bowl']",['tomato'],['hand'],2.0,8.0,151.0,addVhandtomatocutting boardbowl,s08-d02-cam-002,6792.0,231.028,6845.0,232.847
cut out insideV,['cutting-board'],['tomato'],['knife'],2.0,8.0,595.0,cut out insideVknifetomatocutting board,s08-d02-cam-002,6872.0,233.748,6960.0,236.768
sliceV,['cutting-board'],['tomato'],['knife'],2.0,8.0,2338.0,sliceVknifetomatocutting board,s08-d02-cam-002,6970.0,237.098,7105.0,241.692
cut diceV,['cutting-board'],['tomato'],['knife'],2.0,8.0,515.0,cut diceVknifetomatocutting board,s08-d02-cam-002,7116.0,242.074,7205.0,245.097
addV,"['cutting-board', 'bowl']",['tomato'],['hand'],2.0,8.0,151.0,addVhandtomatocutting boardbowl,s08-d02-cam-002,7206.0,245.115,7272.0,247.366
washV,[''],['hand'],['hand'],2.0,8.0,3171.0,washVhandhand,s08-d02-cam-002,7303.0,248.435,7374.0,250.85
moveV,"['hook', '']",['towel'],['hand'],2.0,8.0,1307.0,moveVhandtowelhook,s08-d02-cam-002,7391.0,251.402,7421.0,252.448
dryV,[''],['hand'],['towel'],2.0,8.0,683.0,dryVtowelhand,s08-d02-cam-002,7421.0,252.448,7493.0,254.897
take outV,['spice-holder'],['spice-shaker'],['hand'],2.0,8.0,2852.0,take outVhandspice shakerspice holder,s08-d02-cam-002,7497.0,255.0,7545.0,256.661
screw openV,[''],['spice-shaker'],['hand'],2.0,8.0,2153.0,screw openVhandspice shaker,s08-d02-cam-002,7550.0,256.833,7598.0,258.445
smellV,['spice-shaker'],['salt'],['hand'],2.0,8.0,2356.0,smellVhandsaltspice shaker,s08-d02-cam-002,7602.0,258.579,7614.0,258.995
spiceV,['bowl'],['salt'],['spice-shaker'],2.0,8.0,2377.0,spiceVspice shakersaltbowl,s08-d02-cam-002,7615.0,259.035,7773.0,264.405
screw closeV,[''],['spice-shaker'],['hand'],2.0,8.0,2141.0,screw closeVhandspice shaker,s08-d02-cam-002,7777.0,264.547,7800.0,265.331
screw openV,[''],['spice-shaker'],['hand'],2.0,8.0,2153.0,screw openVhandspice shaker,s08-d02-cam-002,7821.0,266.054,7863.0,267.458
smellV,['spice-shaker'],['pepper'],['hand'],2.0,8.0,2354.0,smellVhandpepperspice shaker,s08-d02-cam-002,7863.0,267.479,7876.0,267.919
spiceV,['bowl'],['pepper'],['spice-shaker'],2.0,8.0,2371.0,spiceVspice shakerpepperbowl,s08-d02-cam-002,7877.0,267.959,8010.0,272.458
screw closeV,[''],['spice-shaker'],['hand'],2.0,8.0,2141.0,screw closeVhandspice shaker,s08-d02-cam-002,8010.0,272.458,8055.0,273.984
put inV,"['counter', 'spice-holder']",['spice-shaker'],['hand'],2.0,8.0,1828.0,put inVhandspice shakercounterspice holder,s08-d02-cam-002,8055.0,273.984,8128.0,276.496
take outV,"['cupboard', '']",['bottle'],['hand'],2.0,8.0,2557.0,take outVhandbottlecupboard,s08-d02-cam-002,8171.0,277.932,8252.0,280.704
screw openV,[''],['bottle'],['hand'],2.0,8.0,2146.0,screw openVhandbottle,s08-d02-cam-002,8265.0,281.123,8321.0,283.051
pourV,['bowl'],['oil'],['bottle'],2.0,8.0,1504.0,pourVbottleoilbowl,s08-d02-cam-002,8321.0,283.051,8475.0,288.288
screw closeV,[''],['bottle'],['hand'],2.0,8.0,2134.0,screw closeVhandbottle,s08-d02-cam-002,8485.0,288.639,8551.0,290.88
put inV,"['', 'cupboard']",['bottle'],['hand'],2.0,8.0,1723.0,put inVhandbottlecupboard,s08-d02-cam-002,8551.0,290.88,8620.0,293.231
take outV,"['drawer', '']",['fork'],['hand'],2.0,8.0,2659.0,take outVhandforkdrawer,s08-d02-cam-002,8666.0,294.775,8793.0,299.1
mixV,['bowl'],['salad'],['fork'],2.0,8.0,812.0,mixVforksaladbowl,s08-d02-cam-002,8805.0,299.491,9358.0,318.302
take outV,"['spice-holder', '']",['spice-shaker'],['hand'],2.0,8.0,2852.0,take outVhandspice shakerspice holder,s08-d02-cam-002,9390.0,319.396,9415.0,320.243
screw openV,[''],['spice-shaker'],['hand'],2.0,8.0,2153.0,screw openVhandspice shaker,s08-d02-cam-002,9417.0,320.321,9468.0,322.054
spiceV,['bowl'],['salt'],['spice-shaker'],2.0,8.0,2377.0,spiceVspice shakersaltbowl,s08-d02-cam-002,9468.0,322.054,9552.0,324.92
screw closeV,[''],['spice-shaker'],['hand'],2.0,8.0,2141.0,screw closeVhandspice shaker,s08-d02-cam-002,9552.0,324.92,9601.0,326.574
put inV,"['', 'spice-holder']",['spice-shaker'],['hand'],2.0,8.0,1829.0,put inVhandspice shakerspice holder,s08-d02-cam-002,9601.0,326.574,9638.0,327.838
mixV,['bowl'],['salad'],['fork'],2.0,8.0,812.0,mixVforksaladbowl,s08-d02-cam-002,9657.0,328.489,9847.0,334.964
moveV,"['counter', 'counter']",['bowl'],['hand'],2.0,8.0,867.0,moveVhandbowlcountercounter,s08-d02-cam-002,9880.0,336.088,9928.0,337.721
enterV,[''],[''],[''],4.0,8.0,706.0,enterV,s08-d04-cam-002,60.0,2.074,147.0,5.034
take outV,"['cupboard', 'counter']",['potato'],['hand'],4.0,8.0,2829.0,take outVhandpotatocupboardcounter,s08-d04-cam-002,133.0,4.532,369.0,12.585
take outV,"['drawer', '']",['front-peeler'],['hand'],4.0,8.0,2664.0,take outVhandfront peelerdrawer,s08-d04-cam-002,369.0,12.585,510.0,17.38
peelV,[''],['potato'],['front-peeler'],4.0,8.0,1452.0,peelVfront peelerpotato,s08-d04-cam-002,566.0,19.285,1781.0,60.612
peelV,[''],['potato'],['front-peeler'],4.0,8.0,1452.0,peelVfront peelerpotato,s08-d04-cam-002,1789.0,60.865,2690.0,91.53
gatherV,['counter'],['peel'],['hand'],4.0,8.0,756.0,gatherVhandpeelcounter,s08-d04-cam-002,2716.0,92.414,2841.0,96.666
gatherV,['counter'],['peel'],['hand'],4.0,8.0,756.0,gatherVhandpeelcounter,s08-d04-cam-002,2847.0,96.87,2979.0,101.36
throw in garbageV,[''],['peel'],['hand'],4.0,8.0,3041.0,throw in garbageVhandpeel,s08-d04-cam-002,2979.0,101.36,3187.0,108.435
take outV,"['drawer', '']",['knife'],['hand'],4.0,8.0,2704.0,take outVhandknifedrawer,s08-d04-cam-002,3199.0,108.832,3336.0,113.503
put inV,"['', 'drawer']",['knife'],['hand'],4.0,8.0,1782.0,put inVhandknifedrawer,s08-d04-cam-002,3359.0,114.274,3401.0,115.714
take outV,"['drawer', '']",['side-peeler'],['hand'],4.0,8.0,2840.0,take outVhandside peelerdrawer,s08-d04-cam-002,3401.0,115.714,3445.0,117.21
cut out insideV,[''],['potato'],['side-peeler'],4.0,8.0,596.0,cut out insideVside peelerpotato,s08-d04-cam-002,3482.0,118.469,3589.0,122.108
pull apartV,[''],['potato'],['hand'],4.0,8.0,1657.0,pull apartVhandpotato,s08-d04-cam-002,3589.0,122.108,3628.0,123.435
peelV,[''],['potato'],['side-peeler'],4.0,8.0,1489.0,peelVside peelerpotato,s08-d04-cam-002,3634.0,123.639,3707.0,126.122
throw in garbageV,[''],['garbage'],['hand'],4.0,8.0,3019.0,throw in garbageVhandgarbage,s08-d04-cam-002,3766.0,128.129,3847.0,130.884
washV,[''],['hand'],['hand'],4.0,8.0,3171.0,washVhandhand,s08-d04-cam-002,3860.0,131.326,3995.0,135.918
washV,[''],['potato'],['hand'],4.0,8.0,3209.0,washVhandpotato,s08-d04-cam-002,4000.0,136.088,4236.0,144.115
shakeV,[''],['potato'],['hand'],4.0,8.0,2244.0,shakeVhandpotato,s08-d04-cam-002,4236.0,144.115,4323.0,147.074
open closeV,['drawer'],[''],['hand'],4.0,8.0,1367.0,open closeVhanddrawer,s08-d04-cam-002,4330.0,147.312,4410.0,150.0
take outV,"['drawer', 'counter']",['bowl'],['hand'],4.0,8.0,2569.0,take outVhandbowldrawercounter,s08-d04-cam-002,4446.0,151.258,4513.0,153.537
closeV,['drawer'],[''],['hand'],4.0,8.0,363.0,closeVhanddrawer,s08-d04-cam-002,4522.0,153.843,4561.0,155.17
take outV,"['drawer', '']",['box-grater'],['hand'],4.0,8.0,2573.0,take outVhandbox graterdrawer,s08-d04-cam-002,4568.0,155.389,4642.0,157.925
grateV,['bowl'],['potato'],['box-grater'],4.0,8.0,790.0,grateVbox graterpotatobowl,s08-d04-cam-002,4696.0,159.761,5966.0,202.959
grateV,['bowl'],['potato'],['box-grater'],4.0,8.0,790.0,grateVbox graterpotatobowl,s08-d04-cam-002,5996.0,203.979,6838.0,232.619
washV,[''],['hand'],['hand'],4.0,8.0,3171.0,washVhandhand,s08-d04-cam-002,6919.0,235.374,6989.0,237.755
shakeV,[''],['hand'],['hand'],4.0,8.0,2205.0,shakeVhandhand,s08-d04-cam-002,6989.0,237.755,7017.0,238.707
dryV,[''],['hand'],['towel'],4.0,8.0,683.0,dryVtowelhand,s08-d04-cam-002,7040.0,239.489,7090.0,241.16
take outV,"['fridge', 'counter']",['zucchini'],['hand'],4.0,8.0,2906.0,take outVhandzucchinifridgecounter,s08-d04-cam-002,7092.0,241.232,7355.0,250.204
take outV,"['fridge', '']",['egg'],['hand'],4.0,8.0,2641.0,take outVhandeggfridge,s08-d04-cam-002,7362.0,250.442,7540.0,256.496
peelV,[''],['zucchini'],['front-peeler'],4.0,8.0,1453.0,peelVfront peelerzucchini,s08-d04-cam-002,7621.0,259.251,8153.0,277.346
peelV,[''],['zucchini'],['front-peeler'],4.0,8.0,1453.0,peelVfront peelerzucchini,s08-d04-cam-002,8196.0,278.809,8901.0,302.789
washV,[''],['zucchini'],['hand'],4.0,8.0,3230.0,washVhandzucchini,s08-d04-cam-002,8948.0,304.387,9041.0,307.551
shakeV,[''],['zucchini'],['hand'],4.0,8.0,2265.0,shakeVhandzucchini,s08-d04-cam-002,9045.0,307.687,9133.0,310.68
take outV,"['drawer', '']",['knife'],['hand'],4.0,8.0,2704.0,take outVhandknifedrawer,s08-d04-cam-002,9133.0,310.68,9209.0,313.247
cut off endsV,[''],['zucchini'],['knife'],4.0,8.0,570.0,cut off endsVknifezucchini,s08-d04-cam-002,9247.0,314.557,9310.0,316.7
shakeV,[''],['zucchini'],['hand'],4.0,8.0,2265.0,shakeVhandzucchini,s08-d04-cam-002,9342.0,317.789,9382.0,319.149
grateV,['bowl'],['zucchini'],['box-grater'],4.0,8.0,791.0,grateVbox graterzucchinibowl,s08-d04-cam-002,9400.0,319.761,10235.0,348.163
grateV,['bowl'],['zucchini'],['box-grater'],4.0,8.0,791.0,grateVbox graterzucchinibowl,s08-d04-cam-002,10320.0,351.054,10595.0,360.408
grateV,['bowl'],['zucchini'],['box-grater'],4.0,8.0,791.0,grateVbox graterzucchinibowl,s08-d04-cam-002,10642.0,362.006,10751.0,365.704
washV,[''],['hand'],['hand'],4.0,8.0,3171.0,washVhandhand,s08-d04-cam-002,10890.0,370.442,10927.0,371.7
shakeV,[''],['hand'],['hand'],4.0,8.0,2205.0,shakeVhandhand,s08-d04-cam-002,10927.0,371.7,10998.0,374.115
scratch offV,"['box-grater', 'bowl']",['zucchini'],['hand'],4.0,8.0,2115.0,scratch offVhandzucchinibox graterbowl,s08-d04-cam-002,11025.0,375.034,11197.0,380.884
moveV,"['', 'sink']",['box-grater'],['hand'],4.0,8.0,883.0,moveVhandbox gratersink,s08-d04-cam-002,11202.0,381.054,11251.0,382.721
washV,[''],['hand'],['hand'],4.0,8.0,3171.0,washVhandhand,s08-d04-cam-002,11251.0,382.721,11319.0,385.0
shakeV,[''],['hand'],['hand'],4.0,8.0,2205.0,shakeVhandhand,s08-d04-cam-002,11319.0,385.0,11372.0,386.836
open eggV,['bowl'],['egg'],['hand'],4.0,8.0,1379.0,open eggVhandeggbowl,s08-d04-cam-002,11434.0,388.945,11577.0,393.809
throw in garbageV,[''],"['eggshell', 'peel']",['hand'],4.0,8.0,3016.0,throw in garbageVhandeggshellpeel,s08-d04-cam-002,11670.0,396.972,11794.0,401.19
throw in garbageV,[''],"['peel', 'top']",['hand'],4.0,8.0,3047.0,throw in garbageVhandpeeltop,s08-d04-cam-002,12005.0,408.367,12089.0,411.206
washV,[''],['hand'],['hand'],4.0,8.0,3171.0,washVhandhand,s08-d04-cam-002,12093.0,411.358,12184.0,414.455
shakeV,[''],['hand'],['hand'],4.0,8.0,2205.0,shakeVhandhand,s08-d04-cam-002,12183.0,414.421,12219.0,415.646
moveV,"['hook', '']",['towel'],['hand'],4.0,8.0,1307.0,moveVhandtowelhook,s08-d04-cam-002,12219.0,415.646,12251.0,416.734
dryV,[''],['hand'],['towel'],4.0,8.0,683.0,dryVtowelhand,s08-d04-cam-002,12251.0,416.734,12313.0,418.843
take outV,"['drawer', '']",['spatula'],['hand'],4.0,8.0,2848.0,take outVhandspatuladrawer,s08-d04-cam-002,12355.0,420.272,12538.0,426.472
stirV,['bowl'],"['potato', 'zucchini', 'egg']",['spatula'],4.0,8.0,2473.0,stirVspatulapotatozucchinieggbowl,s08-d04-cam-002,12540.0,426.562,12903.0,438.911
take outV,"['spice-holder', 'counter']",['spice-shaker'],['hand'],4.0,8.0,2853.0,take outVhandspice shakerspice holdercounter,s08-d04-cam-002,12948.0,440.442,12982.0,441.598
take outV,"['spice-holder', '']",['spice-shaker'],['hand'],4.0,8.0,2852.0,take outVhandspice shakerspice holder,s08-d04-cam-002,12988.0,441.802,13019.0,442.857
readV,[''],['spice-shaker'],['hand'],4.0,8.0,1934.0,readVhandspice shaker,s08-d04-cam-002,13019.0,442.857,13062.0,444.319
screw openV,[''],['spice-shaker'],['hand'],4.0,8.0,2153.0,screw openVhandspice shaker,s08-d04-cam-002,13062.0,444.319,13087.0,445.138
smellV,['spice-shaker'],['spice'],['hand'],4.0,8.0,2357.0,smellVhandspicespice shaker,s08-d04-cam-002,13091.0,445.298,13113.0,446.054
screw closeV,[''],['spice-shaker'],['hand'],4.0,8.0,2141.0,screw closeVhandspice shaker,s08-d04-cam-002,13119.0,446.25,13150.0,447.312
readV,['spice-holder'],['spice-shaker'],['hand'],4.0,8.0,1935.0,readVhandspice shakerspice holder,s08-d04-cam-002,13157.0,447.551,13399.0,455.782
take outV,['spice-holder'],['spice-shaker'],['hand'],4.0,8.0,2852.0,take outVhandspice shakerspice holder,s08-d04-cam-002,13399.0,455.782,13443.0,457.272
take outV,['spice-holder'],['spice-shaker'],['hand'],4.0,8.0,2852.0,take outVhandspice shakerspice holder,s08-d04-cam-002,13443.0,457.272,13448.0,457.448
screw openV,[''],['spice-shaker'],['hand'],4.0,8.0,2153.0,screw openVhandspice shaker,s08-d04-cam-002,13452.0,457.568,13485.0,458.707
smellV,['spice-shaker'],['spice'],['hand'],4.0,8.0,2357.0,smellVhandspicespice shaker,s08-d04-cam-002,13488.0,458.787,13517.0,459.783
screw closeV,[''],['spice-shaker'],['hand'],4.0,8.0,2141.0,screw closeVhandspice shaker,s08-d04-cam-002,13517.0,459.784,13576.0,461.79
put inV,"['', 'spice-holder']",['spice-shaker'],['hand'],4.0,8.0,1829.0,put inVhandspice shakerspice holder,s08-d04-cam-002,13580.0,461.91,13599.0,462.573
take outV,"['spice-holder', 'counter']",['spice-shaker'],['hand'],4.0,8.0,2853.0,take outVhandspice shakerspice holdercounter,s08-d04-cam-002,13603.0,462.693,13687.0,465.56
screw openV,[''],['spice-shaker'],['hand'],4.0,8.0,2153.0,screw openVhandspice shaker,s08-d04-cam-002,13691.0,465.714,13712.0,466.41
spiceV,['bowl'],['pepper'],['spice-shaker'],4.0,8.0,2371.0,spiceVspice shakerpepperbowl,s08-d04-cam-002,13719.0,466.666,13830.0,470.424
smellV,['spice-shaker'],['spice'],['hand'],4.0,8.0,2357.0,smellVhandspicespice shaker,s08-d04-cam-002,13832.0,470.504,13854.0,471.234
spiceV,['bowl'],['pepper'],['spice-shaker'],4.0,8.0,2371.0,spiceVspice shakerpepperbowl,s08-d04-cam-002,13856.0,471.314,13895.0,472.653
screw closeV,[''],['spice-shaker'],['hand'],4.0,8.0,2141.0,screw closeVhandspice shaker,s08-d04-cam-002,13914.0,473.299,14012.0,476.632
screw openV,[''],['spice-shaker'],['hand'],4.0,8.0,2153.0,screw openVhandspice shaker,s08-d04-cam-002,14037.0,477.459,14059.0,478.211
spiceV,['bowl'],['salt'],['spice-shaker'],4.0,8.0,2377.0,spiceVspice shakersaltbowl,s08-d04-cam-002,14064.0,478.401,14191.0,482.703
screw closeV,[''],['spice-shaker'],['hand'],4.0,8.0,2141.0,screw closeVhandspice shaker,s08-d04-cam-002,14193.0,482.783,14229.0,484.001
screw openV,[''],['spice-shaker'],['hand'],4.0,8.0,2153.0,screw openVhandspice shaker,s08-d04-cam-002,14250.0,484.727,14280.0,485.748
spiceV,['bowl'],['spice'],['spice-shaker'],4.0,8.0,2388.0,spiceVspice shakerspicebowl,s08-d04-cam-002,14287.0,485.98,14378.0,489.081
screw closeV,[''],['spice-shaker'],['hand'],4.0,8.0,2141.0,screw closeVhandspice shaker,s08-d04-cam-002,14383.0,489.241,14427.0,490.748
put inV,"['counter', 'spice-holder']",['spice-shaker'],['hand'],4.0,8.0,1828.0,put inVhandspice shakercounterspice holder,s08-d04-cam-002,14436.0,491.042,14547.0,494.829
stirV,['bowl'],['food'],['spatula'],4.0,8.0,2460.0,stirVspatulafoodbowl,s08-d04-cam-002,14580.0,495.952,15017.0,510.816
take outV,"['cupboard', '']",['onion'],['hand'],4.0,8.0,2747.0,take outVhandonioncupboard,s08-d04-cam-002,15080.0,512.959,15481.0,526.598
open closeV,['drawer'],[''],['hand'],4.0,8.0,1367.0,open closeVhanddrawer,s08-d04-cam-002,15528.0,528.197,15595.0,530.476
take outV,"['drawer', 'counter']",['cutting-board'],['hand'],4.0,8.0,2637.0,take outVhandcutting boarddrawercounter,s08-d04-cam-002,15595.0,530.476,15880.0,540.17
closeV,['drawer'],[''],['hand'],4.0,8.0,363.0,closeVhanddrawer,s08-d04-cam-002,16102.0,547.721,16155.0,549.523
cut off endsV,['cutting-board'],['onion'],['knife'],4.0,8.0,560.0,cut off endsVknifeonioncutting board,s08-d04-cam-002,16230.0,552.066,16345.0,555.986
peelV,[''],['onion'],['hand'],4.0,8.0,1459.0,peelVhandonion,s08-d04-cam-002,16354.0,556.28,16467.0,560.136
peelV,[''],['onion'],['knife'],4.0,8.0,1473.0,peelVknifeonion,s08-d04-cam-002,16474.0,560.374,16702.0,568.129
cut apartV,['cutting-board'],['onion'],['knife'],4.0,8.0,455.0,cut apartVknifeonioncutting board,s08-d04-cam-002,16711.0,568.423,16796.0,571.326
peelV,[''],['onion'],['hand'],4.0,8.0,1459.0,peelVhandonion,s08-d04-cam-002,16816.0,572.006,17301.0,588.498
peelV,[''],['onion'],['hand'],4.0,8.0,1459.0,peelVhandonion,s08-d04-cam-002,17336.0,589.693,17491.0,594.965
peelV,[''],['onion'],['hand'],4.0,8.0,1459.0,peelVhandonion,s08-d04-cam-002,17519.0,595.918,17837.0,606.734
sliceV,['cutting-board'],['onion'],['knife'],4.0,8.0,2328.0,sliceVknifeonioncutting board,s08-d04-cam-002,17948.0,610.51,18590.0,632.346
cut diceV,['cutting-board'],['onion'],['knife'],4.0,8.0,504.0,cut diceVknifeonioncutting board,s08-d04-cam-002,18590.0,632.346,19135.0,650.884
sliceV,['cutting-board'],['onion'],['knife'],4.0,8.0,2328.0,sliceVknifeonioncutting board,s08-d04-cam-002,19206.0,653.299,19664.0,668.877
cut diceV,['cutting-board'],['onion'],['knife'],4.0,8.0,504.0,cut diceVknifeonioncutting board,s08-d04-cam-002,19664.0,668.877,20034.0,681.462
throw in garbageV,[''],['peel'],['hand'],4.0,8.0,3041.0,throw in garbageVhandpeel,s08-d04-cam-002,20196.0,686.972,20263.0,689.251
washV,[''],['hand'],['hand'],4.0,8.0,3171.0,washVhandhand,s08-d04-cam-002,20291.0,690.204,20440.0,695.272
shakeV,[''],['hand'],['hand'],4.0,8.0,2205.0,shakeVhandhand,s08-d04-cam-002,20440.0,695.272,20468.0,696.224
dryV,[''],['hand'],['towel'],4.0,8.0,683.0,dryVtowelhand,s08-d04-cam-002,20468.0,696.224,20541.0,698.707
take outV,"['drawer', 'stove']",['frying-pan'],['hand'],4.0,8.0,2673.0,take outVhandfrying pandrawerstove,s08-d04-cam-002,20653.0,702.497,20712.0,704.523
take outV,"['cupboard', '']",['bottle'],['hand'],4.0,8.0,2557.0,take outVhandbottlecupboard,s08-d04-cam-002,20772.0,706.564,20945.0,712.448
screw openV,[''],['bottle'],['hand'],4.0,8.0,2146.0,screw openVhandbottle,s08-d04-cam-002,20961.0,712.963,21004.0,714.425
pourV,['frying-pan'],['oil'],['bottle'],4.0,8.0,1505.0,pourVbottleoilfrying pan,s08-d04-cam-002,21012.0,714.72,21212.0,721.506
screw closeV,[''],['bottle'],['hand'],4.0,8.0,2134.0,screw closeVhandbottle,s08-d04-cam-002,21214.0,721.586,21247.0,722.721
